2024-10-01T07:53:32.062Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.062Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.062Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.062Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.062Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.063Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.063Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.063Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.063Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.063Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.063Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.064Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.064Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.064Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.064Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.064Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.064Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.064Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.064Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.065Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.065Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.065Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.065Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.065Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.065Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.065Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.065Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.066Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.066Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.066Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.066Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.066Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.066Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.067Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.067Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.067Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.067Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.067Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.067Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.067Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.067Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.068Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.068Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.068Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.068Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.068Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.068Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.069Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.069Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.069Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.069Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.069Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.069Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.069Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.069Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.070Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.070Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.070Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.070Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.070Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.070Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.070Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.070Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.071Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.071Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.071Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.071Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.071Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.071Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.072Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.072Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.072Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.072Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.073Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.073Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.073Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.073Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.073Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.073Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.073Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.074Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.074Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.074Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.074Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.074Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.074Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.074Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.075Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.075Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.075Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.075Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.075Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.076Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.076Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.076Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.076Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.076Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.076Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.076Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.077Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.077Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.077Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.077Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.077Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.077Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.078Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.078Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.078Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.078Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.078Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.078Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.078Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.079Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.079Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.079Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.079Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.079Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.079Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.079Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.080Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.080Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.080Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.080Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.080Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.080Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.080Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.080Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.081Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.082Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.082Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.082Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.082Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.082Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.082Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.082Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.082Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.082Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.169Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.170Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.171Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.171Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.172Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.172Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.173Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.174Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.174Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.175Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.175Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.176Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
2024-10-01T07:53:32.177Z [ERROR]: Error processing stock with InstrumentIdentifier undefined: MongoServerError: Transaction numbers are only allowed on a replica set member or mongos 
